Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.103,,,2019-04-20 17:20:58,2019-04-20 17:22:38,1m - 39.909s,FAILED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 17:20:59,2019-04-20 17:21:41,42.819s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 17:20:59,2019-04-20 17:21:03,3.527s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 17:21:03,2019-04-20 17:21:03,0.142s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 17:21:03,2019-04-20 17:21:12,8.792s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 17:21:12,2019-04-20 17:21:12,0.694s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:12,2019-04-20 17:21:13,0.985s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 17:21:13,2019-04-20 17:21:14,0.417s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 17:21:14,2019-04-20 17:21:14,0.252s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:14,2019-04-20 17:21:14,0.177s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 17:21:14,2019-04-20 17:21:38,23.654s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:38,2019-04-20 17:21:38,0.208s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-20 17:21:38,2019-04-20 17:21:41,3.045s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:41,2019-04-20 17:21:41,0.224s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:41,2019-04-20 17:21:41,0.148s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-20 17:21:41,2019-04-20 17:21:43,1.736s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:42,2019-04-20 17:21:42,0.393s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:21:42,2019-04-20 17:21:43,1.003s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0919,Chrome 73.0.3683.103,Test documentation link,,2019-04-20 17:21:43,2019-04-20 17:21:48,4.924s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:21:43,2019-04-20 17:21:48,4.631s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_documentation (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:48,2019-04-20 17:21:48,0.165s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0920,Chrome 73.0.3683.103,Test video tutorial,,2019-04-20 17:21:48,2019-04-20 17:21:54,5.814s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:21:48,2019-04-20 17:21:53,4.393s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:21:53,2019-04-20 17:21:54,1.003s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_video tutorial""))",Chrome 73.0.3683.103,,,2019-04-20 17:21:54,2019-04-20 17:21:54,0.245s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0921,Chrome 73.0.3683.103,Test enter phone number manually,,2019-04-20 17:21:54,2019-04-20 17:22:03,8.985s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:21:54,2019-04-20 17:21:59,4.741s,PASSED
delay(2),Chrome 73.0.3683.103,,,2019-04-20 17:21:59,2019-04-20 17:22:01,2.003s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Enter phone numbers man (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:01,2019-04-20 17:22:01,0.185s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/input_form-control m-input m-i (4)""), ""+923340226849"")",Chrome 73.0.3683.103,,,2019-04-20 17:22:01,2019-04-20 17:22:02,0.419s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Submit (1)""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:02,2019-04-20 17:22:02,0.124s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/div_Contacts were invited to y (1)""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:02,2019-04-20 17:22:03,1.149s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0926,Chrome 73.0.3683.103,Test submit with empty inviation message,,2019-04-20 17:22:03,2019-04-20 17:22:10,7.048s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:22:03,2019-04-20 17:22:08,4.405s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:22:08,2019-04-20 17:22:09,1.004s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Enter phone numbers man (1) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:09,2019-04-20 17:22:09,0.109s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/input_form-control m-input m-i (4) (1) (1)""), ""+923340226849"")",Chrome 73.0.3683.103,,,2019-04-20 17:22:09,2019-04-20 17:22:09,0.220s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/textarea_exampleTextarea (1)""), """")",Chrome 73.0.3683.103,,,2019-04-20 17:22:09,2019-04-20 17:22:09,0.098s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:22:09,2019-04-20 17:22:10,1.002s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0927,Chrome 73.0.3683.103,Test reset button,,2019-04-20 17:22:10,2019-04-20 17:22:18,8.319s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:22:10,2019-04-20 17:22:15,4.356s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:22:15,2019-04-20 17:22:16,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/button_Enter phone numbers man (2)""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:16,2019-04-20 17:22:16,0.183s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboPush  Dashboard/input_form-control m-input m-i (2)""), ""+923403630780"")",Chrome 73.0.3683.103,,,2019-04-20 17:22:16,2019-04-20 17:22:16,0.228s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/button_Reset""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:16,2019-04-20 17:22:16,0.114s,PASSED
delay(2),Chrome 73.0.3683.103,,,2019-04-20 17:22:16,2019-04-20 17:22:18,2.003s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,,2019-04-20 17:22:18,2019-04-20 17:22:18,0.038s,PASSED
"button = driver.findElement(By.xpath(""//*[@id=""content""]/div/div/div/div[2]/div[4]/div[3]/div/div/div[2]/div[4]/div/div/div/button[2]""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:18,2019-04-20 17:22:18,0.060s,PASSED
if (button.isEnabled()),Chrome 73.0.3683.103,,,2019-04-20 17:22:18,2019-04-20 17:22:18,0.042s,PASSED
else,Chrome 73.0.3683.103,,,2019-04-20 17:22:18,2019-04-20 17:22:18,0.029s,PASSED
,,,,,,,
Test Cases/Invite Using Phone Number/TC0928-viewCustomers,Chrome 73.0.3683.103,Test view customers list,,2019-04-20 17:22:18,2019-04-20 17:22:26,7.977s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:22:18,2019-04-20 17:22:23,4.402s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:22:23,2019-04-20 17:22:24,1.003s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_View Customers Lists""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:24,2019-04-20 17:22:24,0.264s,PASSED
delay(2),Chrome 73.0.3683.103,,,2019-04-20 17:22:24,2019-04-20 17:22:26,2.002s,PASSED
"scrollToPosition(0, 0)",Chrome 73.0.3683.103,,,2019-04-20 17:22:26,2019-04-20 17:22:26,0.037s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Customer Lists/h3_Customer Lists""))",Chrome 73.0.3683.103,,,2019-04-20 17:22:26,2019-04-20 17:22:26,0.091s,PASSED
,,,,,,,
