Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KiboLite,Chrome 73.0.3683.103,,,2019-04-21 04:18:27,2019-04-21 04:21:33,3m - 5.577s,FAILED
,,,,,,,
Test Cases/KiboLite/login,Chrome 73.0.3683.103,,,2019-04-21 04:18:28,2019-04-21 04:19:02,34.069s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 04:18:28,2019-04-21 04:18:31,2.386s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 04:18:31,2019-04-21 04:18:31,0.164s,PASSED
"navigateToUrl(""https://kibolite.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 04:18:31,2019-04-21 04:18:40,8.961s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=http://kibolite.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:18:40,2019-04-21 04:18:40,0.536s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:18:40,2019-04-21 04:18:41,1.138s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:18:41,2019-04-21 04:18:42,0.408s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 04:18:42,2019-04-21 04:18:42,0.317s,PASSED
"click(findTestObject(""Page_CloudKibo/button_Sign In (4) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:18:42,2019-04-21 04:18:42,0.229s,PASSED
"click(findTestObject(""Page_ Dashboard/h3_Dashboard (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:18:42,2019-04-21 04:18:58,15.974s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 04:18:58,2019-04-21 04:19:01,3.057s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:19:01,2019-04-21 04:19:02,0.219s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:19:02,2019-04-21 04:19:02,0.174s,PASSED
,,,,,,,
Test Cases/KiboLite/TC11077,Chrome 73.0.3683.103,Test Sign in to KiboLite,,2019-04-21 04:19:02,2019-04-21 04:19:02,0.439s,PASSED
return null,Chrome 73.0.3683.103,,,2019-04-21 04:19:02,2019-04-21 04:19:02,0.005s,PASSED
,,,,,,,
Test Cases/KiboLite/TC11078,Chrome 73.0.3683.103,,,2019-04-21 04:19:02,2019-04-21 04:19:05,2.679s,PASSED
delay(2),Chrome 73.0.3683.103,,,2019-04-21 04:19:03,2019-04-21 04:19:05,2.005s,PASSED
"click(findTestObject(""Object Repository/Page_ Dashboard/span_Broadcast""))",Chrome 73.0.3683.103,,,2019-04-21 04:19:05,2019-04-21 04:19:05,0.313s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,,2019-04-21 04:19:05,2019-04-21 04:19:05,0.020s,PASSED
