Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
welcomeMessages,Chrome 73.0.3683.103,,,2019-04-21 07:01:49,2019-04-21 07:02:43,53.144s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-21 07:01:50,2019-04-21 07:02:25,34.892s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 07:01:50,2019-04-21 07:01:53,2.281s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 07:01:53,2019-04-21 07:01:53,0.136s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 07:01:53,2019-04-21 07:02:06,13.754s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:02:06,2019-04-21 07:02:07,0.515s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:07,2019-04-21 07:02:08,1.045s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:02:08,2019-04-21 07:02:08,0.343s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 07:02:08,2019-04-21 07:02:09,0.259s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:09,2019-04-21 07:02:09,0.163s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-21 07:02:09,2019-04-21 07:02:21,12.222s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:21,2019-04-21 07:02:21,0.362s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 07:02:21,2019-04-21 07:02:24,3.025s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:24,2019-04-21 07:02:25,0.194s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:25,2019-04-21 07:02:25,0.173s,PASSED
,,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.103,,,2019-04-21 07:02:25,2019-04-21 07:02:26,1.466s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.103,,,2019-04-21 07:02:25,2019-04-21 07:02:25,0.208s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 07:02:25,2019-04-21 07:02:26,1.007s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1034,Chrome 73.0.3683.103,Welcome message documentation link,,2019-04-21 07:02:26,2019-04-21 07:02:29,2.869s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:26,2019-04-21 07:02:29,2.732s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1035,Chrome 73.0.3683.103,Welcome message video tutorial,,2019-04-21 07:02:29,2019-04-21 07:02:32,2.716s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:29,2019-04-21 07:02:32,2.423s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1036,Chrome 73.0.3683.103,Welcome messages list,,2019-04-21 07:02:32,2019-04-21 07:02:34,2.612s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:32,2019-04-21 07:02:34,2.481s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1037,Chrome 73.0.3683.103,View welcome message,,2019-04-21 07:02:34,2019-04-21 07:02:37,2.758s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:35,2019-04-21 07:02:37,2.507s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1038,Chrome 73.0.3683.103,Edit Welcome message,,2019-04-21 07:02:37,2019-04-21 07:02:40,2.609s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:37,2019-04-21 07:02:40,2.424s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1039,Chrome 73.0.3683.103,Test back button,,2019-04-21 07:02:40,2019-04-21 07:02:42,2.684s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:02:40,2019-04-21 07:02:42,2.473s,PASSED
